ZEB 102	Introductory Zoology	2
ZEB 122	Parasitology for Medical Students	2	
ZEB 172	Introductory Environmental Biology	2	
ZEB 202	General Invertebrate Zoology II	2	
ZEB 272	Environmental Health Biology	2	
ZEB 276	Ecotoxicology and Environmental Safety	2	
ZEB 312	Basic Physiology Practical	2	
ZEB 402	Ethology	2	
ZEB 404	Small Animal Production	2
ZEB 412	Animal Physiology II	2
ZEB 422	Animal Parasitology	2
ZEB 432	Entomology II	2
ZEB 442	Fisheries Biology II	2
ZEB 452	Animal Ecology	2	
ZEB 454	Animal Biodiversity Management and Prospecting	2
ZEB 462	Animal Molecular Biology and Bioinformatics	2
ZEB 464	Advanced Animal Biotechnology II	2
ZEB 468	Population Genetics	2	
ZEB 472	Environmental Impact Assessment	2	
ZEB 490	Research Project	6	
Major Courses		
RCS 204 Field Trip and Tutorial II	2	
RCS 214 Exilic and Post-Exilic Israel	2	
RCS 224 Tradition of Jesus	2	
RCS 251 African Traditional Religion I	2	
SWK 214                Death, Loss and Grief	2	
SWK 242                Social Work Intervention with Families	2	
SWK 244                Social Work in Rehabilitation	2	
 	 	
General Studies Courses		
GSP 106 Natural Science II	2	
GSP 202 Peace and Conflict Resolution II	2	
 	 	
Elective: Choose One Course from the Following:	 	
RCS 202 Basic Concepts in the Study of Religion and Society	2	
RCS 205 Problems of Religious Beliefs & History	2	
RCS 222 Advanced Biblical Greek II	2         2	
SWK 224                Functions of Social Work	2	
SWK 228                Social Work in Health Care Setting	2	
SWK 248                Social Work Communication Techniques	2	
 	 	
Total	20	
 	 	
THIRD YEAR	 	
		
First Semester:	 	
Course Code                          Course Title	Unit	
Major Courses		
RCS 301 Religious Interpretation of Society	2	
RCS 321 Earliest Christianity: The Beginning	2	
RCS 351 African Traditional Religion II	2	
SWK 301                Orphans and Vulnerable Children Services	2	
SWK 313                Communities Mental Health	2	
SWK 353                Social Work and Mental Health	2	
SWK 345                Field Work Practice: Social Analysis in Groups Work	3	
		
Required Ancillary Courses		
COS 101 Introduction to Computer Science	2	
CED 341 Courses on Entrepreneurial Development and Research I	2	
Total	19	
		
Second Semester	
Course Code                          Course Title                                           Unit	
Major Courses		
RCS 314 Old Testament Prophets	2	
RCS 322 Earliest Christianity: The Life and Work of St. Paul	2	
RCS 324 New Testament text I	2	
RCS 332 Christian History and Doctrine II	2	
SWK 320                Social Work and Social Problems	2	
SWK 328                Dynamics of Social Functioning	2	
SWK 348                Social Work and the Elderly	2	
SWK 346                Field Work: Problem Solving and Evaluation in Group Work	3	
 	 	
Required Ancillary Courses	 	
COS 304 Computer Application	2	
CED 342 Courses on Entrepreneurial Development and Research II	2	
Total	19	
		
FOURTH YEAR	
	
First Semester	
Course Code                          Course Title	Unit	
Major Courses	 	
RCS 413 Literature of the Old Testament I	3	
RCS 421 The Close of New Testament Era	3	
RCS 481 Departmental Seminar	2	
RCS 491 Project Tutorials	1	
SWK 421                International Social Work	3	
SWK 442                Methods of Social Work Practice	3	
 	 	
Elective:  Choose One Course from the Following	 	
RCS 431 Christian History and Doctrine III	3	
RCS 443 Religion and Culture in Contemporary Society	2	
RCS 471 Islamic Ethics	2         2/3	
SWK 451                Community Development Practice	3	
SWK 413                Social Work and the Law	2	
SWK 431                Ethno-Cultural Relations and the Nigerian State	2	
SWK 447                Social Work Practice with Children	2	
 	 	
Total	17/18	
	
Second Semester	
Course Code                          Course Title	Unit	
Major Courses		
RCS 414 Literature of the Old Testament II	2	
RCS 416 Pseudo-epigraphic Books of the Old Testament	2	
RCS 422 New Testament Texts II	2	
RCS 492 Project	6	
SWK 434 Social Work Legislation and Policy	3	
SWK 442                Generalist Approach in Social Work	2	
		
Electives: Choose One Course from the Following:	
RCS 323 New Testament Theological Framework	2	
RCS 456 Comparative Study of Religion in Africa	2         2/3	
SWK 454                Clinical Social Work Practice, Psychotherapy and Trauma	3	
SWK 406                Models of Family Therapy	2	
Total	19/20	
COMBINED HONOURS	
4-YEAR STANDARD PROGRAMME	
RELIGION AND CULTURAL STUDIES/ SOCIOLOGY AND ANTHROPOLOGY	
 	
FIRST YEAR	
 	
First Semester	
Course No.                             Title	Unit	
Major Courses	 	
RCS 101 Introduction to the Study of Religion	2	
RCS 111 Background of the Old Testament	2	
RCS 121                 Basic Biblical Greek I	2	
RCS 123                 The Background of the New Testament	2	
RCS 151 Introduction to African Traditional Religion	2	
ANT102  Introduction to Anthropology	4	
SOC 101 Introduction to Sociology	2	
 	 	
General Studies Courses	 	
GSP 101 Use of English I	2	
GSP 105 Natural Science I	2	
GSP 111 Use of the Library and Study Skill
 	2
 	
Total	22	
 	
Second Semester		
Course No.                             Title	Unit	
Major Courses	 	
RCS 102 Field Trip and Tutorial I	2	
RCS 112 Introduction to the Study of   the Old Testament	2	
RCS 122                 Basic Biblical Greek II	2	
RCS 124                 Introduction to the Tradition of Jesus	2	
RCS 142 Religion and Human Values	2	
ANT 121 Language in Society and Culture	2	
SOC 102 Introduction to Sociology II	2	
 	 	
General Studies Courses	 	
GSP 102 Use of English II	2	
GSP106 Natural Science II	2	
                Total	18	
 	
SECOND YEAR	
	
First Semester	
Course No.                             Title	Unit	
Major Courses	 	
RCS 211                 Introduction to Old Testament Hebrew	2	
RCS 213                 The People of the Old Testament: Their History	2	
RCS 223 Geo-Cultural Setting of Palestine	2	
RCS 251 African Traditional Religion I	2	
ANT 201 History of Anthropology And Sociology Thought	4	
SOC 203 Sociology of Knowledge, Science and Technology	2	
SOC 221 Criminology and Penology	3	
 	 	
General Studies Course	 	
GSP 201 Peace and Conflict Resolution I	2	
		
Elective: Choose one Course from the following	
(Those who have shown adequate proficiency in Greek	
will be required to take RCS 221)	
HIS   111 Nigeria before 1900	2	
PHL 251 African Philosophy I	2	
IGB 201                  Intermediate Igbo	2	
RCS 201 History of Religions	2	
RCS 221                 Advanced Biblical Greek I	2	
PSY 261                 Psychology of Personality	2	
                                Total	21	
	
Second Semester	
Courses No.                           Title                                                        Unit	
Major Courses	
RCS 206                 Problems of Religious Beliefs & History	2	
RCS 212 Elements of Hebrew Grammar	2	
RCS 214 Exilic and Post-Exilic Israel	2	
RCS 224 Traditions of Jesus	2	
ANT 212 African Social Institutions	4	
SOC 251 Social Change and Social Problems	3	
SOC 211 Sociology of the Family	3	
 	 	
General Studies Course	 	
GSP 202 Peace and Conflict Resolution II	2	
		
Elective: Choose one Course from the following.	 	
(Those who have shown adequate proficiency in Greek	 	
will be required to take RCS 222)	 	
IGB 202  Intermediate Igbo II	2	
RCS 202 Basic Concepts in the Study of Religion and Society	2	
RCS 208 Introduction to Philosophy of Religion	2       2/3	
RCS 222 Advanced Biblical Greek II	2	
RCS 262 Ethical and Basic Principles of Counselling	2	
ECO 211 History of Economic Thought I	3	
ACH 212                Human Evolution	2	
Total	22	
	
THIRD YEAR	
	
First Semester	
Course No.                             Title	Unit	
Major Courses	 	
RCS 313 Religion of the Old Testament	2	
RCS 321 Earliest Christianity: The Beginnings	2	
RCS 323 New Testament Theological Framework	2	
RCS 341 Religious Interpretation of Society	2	
RCS 351 African Traditional Religion II	2	
SOC 301 Sociological Theory and Analysis	4	
SOC 322 Systems of Social Inequality	2	
		
Required Ancillary Course	 	
COS 101                 Introduction to Computer Science	2	
CED 341 Courses on Entrepreneurial Development and Research I	2	
 	 	
Elective: Choose one Course from the following:	 	
(Those who have shown adequate proficiency in Hebrew	 	
will be required to take RCS 311)	 	
HIS 311   Nigeria from 1900 to 1960	2	
RCS 311                 Hebrew Grammar and Syntax I	2         2	
RCS 331 History of Christianity in West Africa	2	
RCS 343 The Relevance of Religion to Man	2	
PHL 351 African Philosophy II	2	
Total	22	
		
Second Semester		
Course No.                             Title                                                        Unit	 	
Major Courses     	 	
RCS 314 Old Testament Prophets	2	
RCS 322 Earliest Christianity: The Life and Work of St. Paul	2	
RCS 324 New Testament Text I	2	
RCS 332 Christian History and Doctrine II	2	
RCS 362 Religious Ethics II	2	
SOC 328 Political Sociology	2	
SOC 354 Contemporary African Social Thought	2	
		
Required Ancillary Courses	 	
COS   304                Computer Applications	2	
CED 342 Courses on Entrepreneurial Development and Research II	2	
 	 	
Elective: Choose one Course from the following:	 	
(Those who have shown adequate proficiency in Hebrew	 	
will be required to take RCS 312)		
RCS 312 Hebrew Grammar and Syntax II	2	
RCS 342 Man and His Culture	2	
RCS 344 Religion and Human Values II	2	
RCS 352 African Traditional Religion III	2	
Total	20	
FOURTH YEAR	 	
 	
First Semester	
Course No.                             Title                                                        Unit	
Major Courses	
RCS 413 Literature of the Old Testament I	3	
RCS 421 Close of the New Testament Era	3	
RCS 481 Departmental Seminar	2	
RCS 491 Project Tutorials	1	
ANT 421 Race and Ethic Relations	4	
ANT 432 Urban Sociology and Anthropology	4	
SOC 432 Industrial Sociology	3	
Total	20	
		
Second Semester		
Course No.                             Title	Unit	
Major Courses     	 	
RCS 414 Literature of the Old Testament II	3	
RCS 422 New Testament Text II	3	
RCS 492 Project	6	
ANT 411 Comparative African Social Institutions	4	
SOC 451 Sociology of Development	4	
		
                                Total	20	
	
FOUR-YEAR STANDARD PROGRAMME	
B.A. EDUCATION/RELIGIOUS AND CULTURAL STUDIES	
FIRST YEAR	
		
First Semester	 	
Course Code                          Course Title	Unit	
Major Courses		
RCS 101 Introduction to the Study of Religion	2	
RCS 111 Background of the Old Testament	2	
RCS 123 The Background of the New Testament	2	
RCS 151 Introducing African Traditional Religion	2	
EDU 102 History of Education	2	
EDU 211 Educational Psychology I	2	
		
Required Ancillary Course		
COS 101 Introduction to Computer Science	2	
GSP 201 Peace and Conflict Resolution I	2	
 	 	
General Studies Courses		
GSP 101 The Use of English I	2	
GSP 111 Use of the Library	2	
                                Total	20	
		
		
Second Semester	 	
Course Code                          Course Title	Unit	
Major Courses		
RCS 112 Introduction to the Study of the Old Testament	2	
RCS 124 Introduction to the Tradition of Jesus	2	
RCS   204                Field Trip and Tutorial II	2	
EDU 201 Philosophy of Education	2	
EDU 205 Sociology of Education	2	
EDU 323 Pre-School Education	2	
 	 	
General Studies Courses		
GSP 102 The Use of English II	2	
GSP 202 Peace and Conflict Resolution II	2	
 	 	
Required Ancillary Course		
COS 304 Computer Applications	2	
Total	18	
 	 	
SECOND YEAR	
 	
First Semester	
Course Code                          Course Title	Unit	
Major Course	 	
RCS 201 History of Religions	2	
RCS 213 The People of O.T.: Their History	2	
RCS 223 Geo-Cultural Setting of Palestine	2	
RCS 231 Christian History and Doctrine I	2	
RCS 251 African Traditional religion	2	
RCS 261 Religious Ethics I	2	
EDU 221 Curriculum Theory and Planning	2	
 	 	
General Studies Course		
GSP 105 Natural Science I	2	
CED 341 Courses on Entrepreneurial Development and Research I	2	
 	 	
Total	18	
		
Second Semester	 	
Course Code                          Course Title	Unit	
Major Course	 	
RCS 206 Problems of Religious Beliefs and Thought	2	
RCS 214 Exilic and Past-Exilic Israel	2	
RCS 224 Traditions of Jesus	2	
RCS 272 History of Islam in West Africa	2	
EDU 222 Special Methods	3	
EDU 224 Educational Technology	2	
EDU 311 Educational Psychology II	2	
 	 	
General Studies Course		
GSP 106 Natural Science II	2	
CED 341 Courses on Entrepreneurial Development and Research II	2	
 	 	
Total	19	
	
THIRD YEAR	
 	 	
First Semester	 	
Course Code                          Course Title	Unit	
Major Courses		
RCS 313 Religion of the Old Testament	2	
RCS 321 Earliest Christianity: The Beginning	2	
RCS 323 New Testament Theological Framework	2	
RCS 331 History of Christianity in West Africa	2	
RCS 351 African Traditional Religion II	2	
EDU 325 Teaching Practice I	3	
EDU 341 Research Methods, Statistics and Computer Usage	3	
EDU 411 Educational Psychology III	2	
 	 	
Total	18	
		
Second Semester	 	
Course Code                          Course Title	Unit	
Major Courses		
RCS 314 Old Testament Prophets	2	
RCS 322 Earliest Christianity: The Life and Work of St. Paul	2	
RCS 324 New Testament Text I	2	
RCS 332 Christian History and Doctrine II	2	
EDU 321 Curriculum Implementation & Instruction	3	
 	 	
Elective: Choose Two Courses from the Following		
EDU 219 Principles of Behaviour Modification	2	
EDU 318 Behaviour Modification II	2	
RCS 344 Man and His Culture	2	
		
Total	15	
		
FOURTH YEAR	
 	
First Semester	 	
Course Code                                          Course Title	Unit	
Major Courses		
RCS 413 Literature of the Old Testament I	3	
RCS 421 Close of the New Testament Era	3	
RCS 431 Christian History and Doctrine III	3	
RCS 481 Departmental Seminar	2	
EDU 425 Teaching Practice II	3	
 	 	
Elective   Choose One Course from the Following:		
RCS 407 Modern African Thought	3	
RCS 443 Religion and Culture in Contemporary Society	3	
 	 	
Total	17	
 	 	
Second Semester	 	
Course Code                          Course Title	Unit	
Major Courses	 	
RCS 414 Literature of the Old Testament II	3	
RCS 416 Pseudo-epigraphic Books of the Old Testament	2	
RCS 422 New Testament Texts II	3	
EDU 204 Environmental Education	2	
EDU 433 Classroom Organization and Management	2	
EDU 441 Measurement and Evaluation	2	
EDU 451 Research Project	4	
		
Total	18	
	
THREE – YEAR STANDARD PROGRAMME	
B.A. EDUCATION/RELIGIOUS AND CULTURAL STUDIES	
	
FIRST YEAR	
 	
First Semester	 	
Course Code                          Course Title	Unit	
Major Courses		
RCS 101 Introduction to the Study of Religions	2	
RCS 111 Background of the Old Testament	2	
RCS 123 The Background of the New Testament	2	
EDU 101 Introduction to Education	2	
EDU 102 History of Education	2	
EDU 211 Education Psychology             I	2	
EDU 221 Curriculum Theory and Planning	2	
		
Required Ancillary Course		
COS101  Introduction to Computer Science	2	
		
General Studies Courses		
GSP 101                 The Use of English I	2	
GSP 105 Natural Science I	2	
GSP 111                 Use of the Library	2	
GSP 201                 Peace and Conflict Resolution I	2	
Total	24	
		
Second Semester	 	
Course Code          Course Title	Unit	
Major Courses		
RCS 112 Introduction to the Old Testament	2	
RCS 124 Introduction to the Traditions of Jesus	2	
RCS 204 Field Trip and Tutorial II	2	
RCS 214 Exilic and Post-Exilic Israel	2	
EDU 222 Special Methods	3	
EDU 224 Educational Technology	2	
 	 	
General Studies Courses	 	
GSP 102 The Use of English II	2	
GSP 106 Natural Science II	2	
GSP 202 Peace and Conflict Resolution II	2	
		
Required Ancillary course	 	
COS 304                Computer Applications	2	
Total	21	
 	
SECOND YEAR	
	
First Semester	 	
Course Code                          Course Title	Unit	
Major Courses	 	
RCS 213                 The People of the Old Testament: Their History	2	
RCS 313 Religion of the Old Testament	2	
RCS 321 Earliest Christianity: The Beginning	2	
RCS 341 Religious Interpretation of Society	2	
RCS 351 African Traditional Religion II	2	
EDU 325 Teaching Practice I	3	
EDU 341 Research Methods, Statistics and Computer Usage	3	
